medcode,readcode,readterm,minormalformation,subgroup
91892,7908.11,repair of defect of interventricular septum,,Heart
39803,7908000,close defect interventricular septum using prosthetic patch,,Heart
99781,7908011,repair defect interventricular septum us prosthetic patch,,Heart
50626,7908100,close defect interventricular septum using pericardial patch,,Heart
96130,7908111,repair defect interventricular septum us pericardial patch,,Heart
67483,7908200,close defect interventricular septum using tissue graft nec,,Heart
45358,7908300,primary closure of defect of interventricular septum nec,,Heart
95578,7908311,primary repair of defect of interventricular septum nec,,Heart
105759,7908400,revision of closure of defect of interventricular septum,,Heart
94023,7908500,closure of multiple interventricular septal defects,,Heart
98273,7908511,repair of multiple interventricular septal defects,,Heart
65234,7908600,closure interventricular septal defect us intraop trans pros,,Heart
92020,7908611,repair interventricular septal defect us intraop trans pros,,Heart
57271,7908y00,other specified closure of defect of interventricular septum,,Heart
3864,7908z00,closure of defect of interventricular septum nos,,Heart
86763,7909.11,repair of defect of unspecified septum of heart,,Heart
42090,7909000,closure of defect of heart septum using prosthetic patch nec,,Heart
59012,7909100,closure defect of heart septum using pericardial patch nec,,Heart
28006,7909300,primary closure of defect of septum of heart nec,,Heart
38828,7909y00,other specified closure of defect unspecified heart septum,,Heart
50310,7909z00,closure of defect of unspecified septum of heart nos,,Heart
103939,7909z11,repair of defect of unspecified septum of heart nos,,Heart
36989,790a.00,other open operations on septum of heart,,Heart
68073,790a000,open enlargement of defect of atrial septum,,Heart
31084,790a100,open atrial septostomy,,Heart
36967,790a111,atrial septostomy nec,,Heart
89969,790a200,open atrial septum fenestration,,Heart
67045,790a300,atrial septectomy,,Heart
89333,790a400,atrial septation procedure,,Heart
93264,790a600,surgical atrial septation,,Heart
41085,790ay00,other specified other open operation on septum of heart,,Heart
66308,790az00,other open operation on septum of heart nos,,Heart
49625,790b.00,closed operations on septum of heart,,Heart
28470,790b000,closed enlargement of defect of atrial septum,,Heart
44665,790b011,blalock creation of defect in atrial septum,,Heart
10916,790b012,hanlon creation of defect in atrial septum,,Heart
37452,790b100,closed atrial septostomy,,Heart
47885,790by00,other specified closed operation on septum of heart,,Heart
94040,790bz00,closed operation on septum of heart nos,,Heart
62685,790f.00,refashioning of atrium,,Heart
39029,790f000,correction of persistent sinus venosus,,Heart
44117,790f100,correction of partial anomalous pulmonary venous drainage,,Heart
99829,790f200,repair of cor triatriatum,,Heart
101639,790f300,repair of coronary sinus abnormality,,Heart
105637,790fy00,other specified refashioning of atrium,,Heart
90605,790j.00,other repair of transposition of great arteries,,Heart
95106,790j000,repositioning of transposed great arteries,,Heart
108021,790jz00,other repair of transposition of great arteries nos,,Heart
89231,790k.00,repair of double outlet ventricle,,Heart
107122,790k100,repair of fallot-type double outlet right ventricle,,Heart
98443,790k200,repair of double outlet right ventricle,,Heart
86418,790l.00,transluminal closure of defect of septum,,Heart
89697,790l000,percutan transluminal closure defect intervent sept us pros,,Heart
102523,790l111,percutaneous translum repair defect intervent septum nec,,Heart
102473,790l200,percutan translum closure defect interatr septum us prosth,,Heart
93807,790l300,percutan transluminal closure defect interatrial septum nec,,Heart
106726,790l311,percutan transluminal repair defect interatrial septum nec,,Heart
93953,790l400,percut translum closure defect unspecified septum us prosth,,Heart
99452,790ly00,other specified transluminal closure of defect of septum,,Heart
94982,790lz00,transluminal closure of defect of septum nos,,Heart
97058,790m.00,repair of univentricular heart,,Heart
95444,790m000,total cavopulmonary con extrac inf cav vein pulmon art con,,Heart
91455,790m100,total cavopulmonary connection with lateral atrial tunnel,,Heart
96818,790m200,radical aortopulmonary reconstr systemic-to-pulmon art shunt,,Heart
96637,790m400,biventricular repair of hypoplastic left heart syndrome,,Heart
97825,790m500,takedown of total cavopulmonary connection,,Heart
98899,790m600,conversion atrial pulmonary anastomosis total pulmon connect,,Heart
101844,790m700,aortopulm reconstruct with systemic to pulmon arterial shunt,,Heart
89257,790my00,other specified repair of univentricular heart,,Heart
95951,790mz00,repair of univentricular heart nos,,Heart
91693,790n000,relief of right ventricular outflow tract obstruction,,Heart
103641,790n100,repair of double chambered right ventricle,,Heart
93408,790n400,relief of left ventricular outflow tract obstruction,,Heart
90112,790n500,myectomy of left ventricular outflow tract,,Heart
52608,791a000,infundibulectomy of heart using patch,,Heart
22413,791a100,infundibulectomy of heart nec,,Heart
20940,791a200,repair of subaortic stenosis,,Heart
62293,791a300,repair of supraaortic stenosis,,Heart
91468,791b400,closure of aortic sinus of valsalva fistula,,Heart
91467,791b500,repair of aortic sinus of valsalva aneurysm,,Heart
18903,7927000,repair of arteriovenous fistula of coronary artery,,Heart
48206,7927300,transposition of coronary artery nec,,Heart
93432,792b200,repair of arteriovenous malformation of coronary artery,,Heart
91720,7934700,percutaneous transluminal ablation congenit heart malformat,,Heart
31195,7a0..00,great vessels and pulmonary artery operations,,Heart
100570,7a0..11,great vessel operations,,Heart
91759,7a00.00,open operations for combined abnormality of great vessels,,Heart
56081,7a00000,correction of persistent truncus arteriosus,,Heart
61915,7a00200,repair of hemitruncus arteriosus,,Heart
61794,7a00300,closure of aortopulmonary window,,Heart
94503,7a00400,repair anomalous pulmonary artery origin ascending aorta,,Heart
62845,7a00y00,open operation for combined abnormality of great vessels os,,Heart
97659,7a00z00,open operation for combined abnormality of great vessels nos,,Heart
21090,7a01.00,open correction of patent ductus arteriosus,,Heart
7342,7a01.11,open correction of patent ductus arteriosus (pda),,Heart
50019,7a01000,division of patent ductus arteriosus,,Heart
9573,7a01100,ligation of patent ductus arteriosus,,Heart
36668,7a01200,closure of patent ductus arteriosus nec,,Heart
63163,7a01300,revision of correction of patent ductus arteriosus,,Heart
106081,7a01y00,other specified open correction of patent ductus arteriosus,,Heart
2728,7a01z00,open correction of patent ductus arteriosus nos,,Heart
62356,7a02.00,transluminal operations on abnormality of great vessel,,Heart
12889,7a02000,percut transluminal prosth occlusion patent ductus arterios,,Heart
19188,7a02011,percut translum prosth occlus patent ductus arteriosus (pda),,Heart
85946,7a02100,percutaneous transluminal stent implantation arterial duct,,Heart
65097,7a02y00,transluminal operation on abnormality of great vessel os,,Heart
98952,7a02z00,transluminal operation on abnormality of great vessel nos,,Heart
43683,7a03.00,creation interposition tube prosth shunt aorta to pulm art,,Heart
103793,7a03000,creation interpos tube prosth shunt asc aorta to main pulm a,,Heart
71873,7a03100,create interpos tube prosth shunt asc aorta to right pulm a,,Heart
56170,7a03200,creation interpos tube prosth shunt asc aorta to left pulm a,,Heart
99369,7a03y00,create interpos tube prosth shunt fr aorta to pulm artery os,,Heart
71791,7a03z00,create interpos tube prosth shunt aorta to pulm artery nos,,Heart
68138,7a04.00,other connection from aorta to pulmonary artery,,Heart
70561,7a04000,creation of aortopulmonary window,,Heart
72750,7a04100,creation of anastomosis ascending aorta to main pulm art nec,,Heart
71795,7a04200,creation anastomosis ascending aorta to right pulm art nec,,Heart
56571,7a04211,waterson anastomosis ascending aorta to right pulmonary art,,Heart
68278,7a05.00,create interpos tube prosth shunt subclavian art to pulm art,,Heart
73815,7a05000,create interpos tube prosth shunt r subclavian a to r pulm a,,Heart
99659,7a05100,create interpos tube prosth shunt l subclavian a to l pulm a,,Heart
103332,7a05200,closure prosthetic shunt pulmonary artery subclavian artery,,Heart
56529,7a06.00,other connection from subclavian artery to pulmonary artery,,Heart
73919,7a06000,creation anastomosis right subclav art to right pulm art nec,,Heart
73918,7a06100,creation anastomosis left subclav art to left pulm art nec,,Heart
59428,7a06200,creation anastomosis subclavian artery to pulmonary art nec,,Heart
28104,7a06211,blalock anastomosis of subclavian artery to pulmonary artery,,Heart
40017,7a06212,taussig anastomosis of subclavian artery to pulmonary artery,,Heart
73489,7a06300,revision anastomosis subclavian artery to pulmonary artery,,Heart
91692,7a06500,perc trans ball dilat anas bet pulmon artery subclav artery,,Heart
90852,7a06600,perc translu occlusion anast pulmonary artery subclavian art,,Heart
90119,7a07.00,other connection to pulmonary artery,,Heart
37037,7a07000,creation of anastomosis from vena cava to pulmonary artery,,Heart
52159,7a07011,creation glenn anastomosis from vena cava to pulmonary art,,Heart
96047,7a07y00,other specified other connection to pulmonary artery,,Heart
62255,7a07z00,other connection to pulmonary artery nos,,Heart
42524,7a08200,repair of anomalous pulmonary artery nec,,Heart
73970,7a08300,repair of pulmonary arterial sling,,Heart
37324,7a09000,application of band to pulmonary artery,,Heart
101932,7a09100,adjustment of band to pulmonary artery,,Heart
72797,7a09200,removal of band from pulmonary artery,,Heart
91479,7a09500,pulmonary artery ligation,,Heart
38328,7a0a.00,transluminal operations on pulmonary artery,,Heart
93433,7a0a700,percut transluminal insertion of stent into pulmonary artery,,Heart
59659,7a0ay00,other specified transluminal operation on pulmonary artery,,Heart
34262,7a0az00,transluminal operation on pulmonary artery nos,,Heart
103081,7a0b.00,open operations on both pulmonary arteries,,Heart
99576,7a0c.00,operation on major systemic to pulmonary collateral arteries,,Heart
110194,7a0c000,major systemic to pulmonary collateral artery occlusion,,Heart
96488,7a0c100,pulmonary unifocalisation,,Heart
104062,7a0c400,percut translumin stent major systemic pulmon collateral art,,Heart
66801,7a0y.00,great vessel or pulmonary artery operations os,,Heart
51112,7a0z.00,great vessel and pulmonary artery operations nos,,Heart
92330,7a18111,hamilton repair coarctation of aorta using subclavian flap,,Heart
67046,7a18600,repair of interrupted aortic arch,,Heart
30403,7a61000,excision of congenital arteriovenous malformation,,Other
31174,7a61200,embolisation of arteriovenous abnormality,,Other
64859,7a61300,ligation of congenital arteriovenous malformation,,Other
94806,7a61500,percutan transluminal embolis arteriovenous malformation nec,,Other
89761,7a61600,percut translumin venous embolisat arteriovenous malform,,Other
86587,7a61700,perc translum arterial venous embolis arteriovenous malform,,Other
85997,7a61800,embolisation of arteriovenous abnormality nec,,Other
108804,7a63500,repair of anomalous caval vein connection,,Heart
90121,7a6k000,repair of pulmonary vein stenosis,,Heart
34834,7b01300,heminephrectomy for horseshoe kidney,,Urinary
60919,7b01311,excision of half of horseshoe kidney,,Urinary
34999,7b02000,heminephrectomy for duplex kidney,,Urinary
52671,7b02100,division of isthmus of horseshoe kidney,,Urinary
94128,7b10400,excision of duplex ureter,,Urinary
21797,7b12.00,reimplantation of ureter,,Urinary
42046,7b12000,unspecified bilateral reimplantation of ureter,,Urinary
59714,7b12100,unspecified unilateral reimplantation of ureter,,Urinary
45744,7b12500,extravesical bilateral reimplantation of ureters,,Urinary
67953,7b12511,leadbetter bilateral reimplantation of ureters,,Urinary
33930,7b12512,politano bilateral reimplantation of ureters,,Urinary
52134,7b12611,cohen unilateral reimplantation of ureter,,Urinary
52509,7b12800,extravesical unilateral reimplantation of ureter,,Urinary
57045,7b12811,leadbetter unilateral reimplantation of ureter,,Urinary
68134,7b12812,politano unilateral reimplantation of ureter,,Urinary
53898,7b12y00,other specified reimplantation of ureter,,Urinary
15822,7b12z00,reimplantation of ureter nos,,Urinary
21102,7b16000,open excision of ureterocele,,Urinary
42767,7b17400,percut nephroscopic balloon dilatation of ureter,,Urinary
25285,7b17411,percut antegrade balloon dilatation of ureter,,Urinary
89354,7b18500,ureteroscopic endoluminal balloon rupture of stenosis ureter,,Urinary
2782,7b1a300,endoscopic dilatation of ureter,,Urinary
5552,7b1d300,endoscopic incision of ureterocele,,Urinary
11587,7b1d400,endoscopic dilatation of ureteric orifice,,Urinary
90265,7b1d600,endoscopic incision of ureterocele,,Urinary
31714,7b23400,closure of exstrophy of bladder,,Urinary
3441,7b41000,other hypospadias repair,,Genital
71899,7b41011,byars hypospadias repair,,Genital
30198,7b41012,cecil reconstruction of urethra,,Genital
11142,7b41013,denis - browne hypospadias repair,,Genital
37920,7b41014,ombredanne hypospadias repair,,Genital
65156,7b41015,van der meulen hypospadias repair,,Genital
55579,7b41016,young hypospadias repair,,Genital
24238,7b41017,first stage hypospadias repair,,Genital
29709,7b41018,second stage hypospadias repair,,Genital
15823,7b41100,epispadias repair,,Urinary
94300,7b41112,denis-browne epispadias repair,,Urinary
72699,7b41113,young-dees epispadias repair,,Urinary
35853,7b41200,closure of urethral fistula,,Urinary
29884,7b41211,excision of urethral fistula,,Urinary
11036,7b41700,magpi hypospadias repair,,Genital
36187,7b41800,duckett hypospadias repair,,Genital
33979,7b43500,endoscopic destruction of posterior urethral valve,,Urinary
91399,7b43a00,endoscopic destruction of urethral valves,,Urinary
29139,7b45600,hook ablation of posterior urethral valve,,Urinary
101310,7c03111,excision of aberrant testis,Yes,Other
27452,7c04200,excision of cyst of male hydatid of morgagni,,Genital
27878,7c08600,correction of hydrocele of infancy,Yes,Genital
11855,7c09700,excision of appendix of testis,,Genital
18943,7c09711,excision of male hydatid of morgagni,,Genital
18340,7c25400,correction of chordee,,Genital
16869,7c25411,release of chordee,,Genital
49752,7d14.00,excision of band of vagina,Yes,Genital
51141,7d14000,laser excision of septum of vagina,Yes,Genital
28217,7d14100,excision of septum of vagina nec,Yes,Genital
97563,7d14200,excision of transverse vaginal septum high,Yes,Genital
89331,7d14300,excision of transverse vaginal septum low,Yes,Genital
92244,7d14400,excision of transverse vaginal septum vertical,Yes,Genital
96510,7d14y00,other specified excision of band of vagina,Yes,Genital
64678,7d14z00,excision of band of vagina nos,Yes,Genital
21762,7d1a200,repair of rectovaginal fistula,,Genital
57261,7e0d014,endoscopic resection of uterine septum,,Genital
15412,7e1a200,excision of hydatid of morgagni,,Genital
37509,7f1a300,drainage of hydrocephalus of fetus to facilitate delivery,,Nervous System
27327,7h01000,correction of pectus deformity of chest wall,Yes,Limb
28517,7h01011,correction of pectus carinatum,Yes,Limb
18597,7h01012,correction of pectus excavatum,Yes,Limb
21142,7h01100,insertion of silicone implant correction of pectus excavatum,Yes,Limb
40984,7h0d300,repair of congenital diaphragmatic hernia,,Digestive
17898,7h10.00,simple excision of inguinal hernial sac,Yes,Other
12527,7h10200,ligation of patent processus vaginalis,Yes,Genital
59925,7h10y00,other specified simple excision of inguinal hernial sac,Yes,Other
35236,7h10z00,simple excision of inguinal hernial sac nos,Yes,Other
3742,7h11.00,primary repair of inguinal hernia,Yes,Other
5425,7h11.11,primary inguinal herniorrhaphy,Yes,Digestive
45687,7h11000,primary repair inguinal hernia using insert natural material,Yes,Other
33485,7h11100,prim repair inguinal hernia using insert prosthet material,Yes,Other
10139,7h11111,primary mesh repair of inguinal hernia,Yes,Other
14670,7h11200,primary repair of inguinal hernia using sutures,Yes,Other
34915,7h11211,bassini repair of inguinal hernia,Yes,Other
94065,7h11212,ferguson repair of inguinal hernia,Yes,Other
99143,7h11213,mcvay repair of inguinal hernia,Yes,Other
36963,7h11214,shouldice repair of inguinal hernia,Yes,Other
19219,7h11300,primary repair inguinal hernia & reduction of sliding hernia,Yes,Other
33743,7h11400,endoscopic primary repair of inguinal hernia,Yes,Other
9949,7h11500,bilateral inguinal hernia repair,Yes,Other
19397,7h11600,primary laparoscopic repair of inguinal hernia,Yes,Other
29442,7h11y00,other specified primary repair of inguinal hernia,Yes,Other
69455,7h11y11,halsted repair of inguinal hernia,Yes,Other
652,7h11z00,primary repair of inguinal hernia nos,Yes,Other
3200,7h12.00,repair of recurrent inguinal hernia,Yes,Other
28558,7h12.11,herniorrhaphy for recurrent inguinal hernia,Yes,Other
64977,7h12000,repair recurr inguinal hernia using insert natural material,Yes,Other
41524,7h12100,repair recurr inguinal hernia using insert prosthet material,Yes,Other
24982,7h12200,repair of recurrent inguinal hernia using sutures,Yes,Other
62486,7h12300,removal prosthet material fr previous repair inguinal hernia,Yes,Other
42716,7h12y00,other specified repair of recurrent inguinal hernia,Yes,Other
3367,7h12z00,repair of recurrent inguinal hernia nos,Yes,Other
35924,7h19511,closure of exomphalos,,Abdominal Wall
