medcode,readcode,readterm
66077,Eu22y00,[X]Other persistent delusional disorders
66410,E105.00,Latent schizophrenia
66506,E101000,Unspecified hebephrenic schizophrenia
66545,E0y..00,Other specified organic psychoses
66757,E14yz00,Other childhood psychoses NOS
66766,E12y000,Paranoia querulans
67768,E101500,Hebephrenic schizophrenia in remission
67943,13Y2.00,Schizophrenia association member
68201,E03y.00,Other transient organic psychoses
69155,E14y100,Borderline psychosis of childhood
70884,Eu23212,[X]Brief schizophrenifrm psych
71250,Eu21.17,[X]Pseudopsychopathic schizophrenia
71819,E14y.00,Other childhood psychoses
73295,E100.11,Schizophrenia simplex
91511,Eu21.11,[X]Latent schizophrenic reaction
91547,Eu20311,[X]Atypical schizophrenia
92994,E10y.11,Cenesthopathic schizophrenia
93167,E104.11,Oneirophrenia
94001,Eu20y12,[X]Schizophreniform disord NOS
94299,E105200,Chronic latent schizophrenia
94604,Eu23214,[X]Schizophrenic reaction
96883,E105500,Latent schizophrenia in remission
97919,E101400,Acute exacerbation of chronic hebephrenic schizophrenia
98417,Eu32800,"[X]Major depression, severe with psychotic symptoms"
98821,Eu22200,[X]Cotard syndrome
99000,E107.11,Cyclic schizophrenia
99070,E10y100,Coenesthopathic schizophrenia
99199,E102100,Subchronic catatonic schizophrenia
101987,Eu26.00,[X]Nonorganic psychosis in remission
102311,E105000,Unspecified latent schizophrenia
102427,E102500,Catatonic schizophrenia in remission
102446,E105z00,Latent schizophrenia NOS
103676,8BM0100,Antipsychotic medication review
104760,E103100,Subchronic paranoid schizophrenia
104763,Eu25211,[X]Cyclic schizophrenia
107222,E102400,Acute exacerbation of chronic catatonic schizophrenia
109252,69DD.00,Antipsychotic medication physical health check
109365,38C1400,Assessment of cause of psychotic and behavioural symptoms
109632,38Qh.00,Glasgow Antipsychotic Side-effect Scale
110447,8BPf.00,Oral antipsychotic therapy
113529,E102200,Chronic catatonic schizophrenia
113612,8G13100,CBTp - cognitive behavioural therapy for psychosis
113781,E101200,Chronic hebephrenic schizophrenia
114206,E105400,Acute exacerbation of chronic latent schizophrenia
114820,E141000,Active disintegrative psychoses
115050,Eu23111,[X]Bouffee delirante with symptoms of schizophrenia
