prodcode,productname,bnfhead,substance
5685,syndol easy to swallow tablet (ssl international plc),sedating antihistamines/non-opioid and compound analgesics,caffeine/codeine phosphate/doxylamine succinate/paracetamol
11945,syndol tablet (ssl international plc),sedating antihistamines/non-opioid and compound analgesics,caffeine/codeine phosphate/doxylamine succinate/paracetamol
5034,ergotamine tartrate with cyclizine and caffeine tablets,antihistamines used for nausea and vomiting/acute migraine,caffeine/cyclizine hydrochloride/ergotamine tartrate
9965,chlorpromazine 100mg/5ml oral suspension sugar free,unknown,chlorpromazine embonate
15418,largactil forte 100mg/5ml oral suspension (hawgreen ltd),antipsychotic products/-,chlorpromazine embonate
28862,chloractil 100mg tablet (ddsa pharmaceuticals ltd),antipsychotic products/-,chlorpromazine hydrochloride
17227,chloractil 25mg tablet (ddsa pharmaceuticals ltd),antipsychotic products/-,chlorpromazine hydrochloride
25653,chloractil 50mg tablet (ddsa pharmaceuticals ltd),antipsychotic products/-,chlorpromazine hydrochloride
8506,chlorpromazine 100mg suppository,antipsychotic products/-,chlorpromazine hydrochloride
2154,chlorpromazine 100mg tablets,first-generation antipsychotic drugs,chlorpromazine hydrochloride
46960,chlorpromazine 100mg tablets (ivax pharmaceuticals uk ltd),first-generation antipsychotic drugs,chlorpromazine hydrochloride
34736,chlorpromazine 100mg tablets (teva uk ltd),first-generation antipsychotic drugs,chlorpromazine hydrochloride
58492,chlorpromazine 100mg tablets (waymade healthcare plc),first-generation antipsychotic drugs,chlorpromazine hydrochloride
8519,chlorpromazine 100mg/5ml oral solution,first-generation antipsychotic drugs,chlorpromazine hydrochloride
45281,chlorpromazine 100mg/5ml oral solution (rosemont pharmaceuticals ltd),first-generation antipsychotic drugs,chlorpromazine hydrochloride
67820,chlorpromazine 100mg/5ml oral suspension,first-generation antipsychotic drugs,chlorpromazine hydrochloride
37705,chlorpromazine 100mg/5ml suspension,antipsychotic products/-,chlorpromazine hydrochloride
60908,chlorpromazine 10mg capsules,"first-generation antipsychotic drugs/products used against nausea and vertigo - antihistamines, phenothiazines & related products",chlorpromazine hydrochloride
2474,chlorpromazine 10mg tablets,first-generation antipsychotic drugs,chlorpromazine hydrochloride
65246,chlorpromazine 10mg/5ml oral suspension,first-generation antipsychotic drugs,chlorpromazine hydrochloride
81762,chlorpromazine 12.5mg/5ml oral suspension,first-generation antipsychotic drugs,chlorpromazine hydrochloride
74088,chlorpromazine 25mg suppositories,first-generation antipsychotic drugs,chlorpromazine hydrochloride
588,chlorpromazine 25mg tablets,first-generation antipsychotic drugs,chlorpromazine hydrochloride
31175,chlorpromazine 25mg tablets (a a h pharmaceuticals ltd),first-generation antipsychotic drugs,chlorpromazine hydrochloride
67747,chlorpromazine 25mg tablets (almus pharmaceuticals ltd),first-generation antipsychotic drugs,chlorpromazine hydrochloride
31184,chlorpromazine 25mg tablets (ivax pharmaceuticals uk ltd),first-generation antipsychotic drugs,chlorpromazine hydrochloride
61153,chlorpromazine 25mg tablets (phoenix healthcare distribution ltd),first-generation antipsychotic drugs,chlorpromazine hydrochloride
34668,chlorpromazine 25mg tablets (teva uk ltd),first-generation antipsychotic drugs,chlorpromazine hydrochloride
34693,chlorpromazine 25mg tablets (thornton & ross ltd),first-generation antipsychotic drugs,chlorpromazine hydrochloride
22606,chlorpromazine 25mg/1ml solution for injection ampoules,unknown,chlorpromazine hydrochloride
3952,chlorpromazine 25mg/5ml oral solution,first-generation antipsychotic drugs,chlorpromazine hydrochloride
44186,chlorpromazine 25mg/5ml oral solution (a a h pharmaceuticals ltd),first-generation antipsychotic drugs,chlorpromazine hydrochloride
37871,chlorpromazine 25mg/5ml oral solution (rosemont pharmaceuticals ltd),antipsychotic products/-,chlorpromazine hydrochloride
9190,chlorpromazine 25mg/5ml oral solution sugar free,first-generation antipsychotic drugs,chlorpromazine hydrochloride
82439,chlorpromazine 25mg/5ml oral solution sugar free (a a h pharmaceuticals ltd),first-generation antipsychotic drugs,chlorpromazine hydrochloride
56862,chlorpromazine 25mg/5ml syrup (rosemont pharmaceuticals ltd),first-generation antipsychotic drugs,chlorpromazine hydrochloride
8311,chlorpromazine 25mg/ml injection,antipsychotic products/-,chlorpromazine hydrochloride
41645,chlorpromazine 25mg/ml injection (antigen pharmaceuticals),antipsychotic products/-,chlorpromazine hydrochloride
3348,chlorpromazine 50mg tablets,first-generation antipsychotic drugs,chlorpromazine hydrochloride
31171,chlorpromazine 50mg tablets (a a h pharmaceuticals ltd),first-generation antipsychotic drugs,chlorpromazine hydrochloride
31172,chlorpromazine 50mg tablets (teva uk ltd),first-generation antipsychotic drugs,chlorpromazine hydrochloride
34630,chlorpromazine 50mg tablets (thornton & ross ltd),first-generation antipsychotic drugs,chlorpromazine hydrochloride
35929,chlorpromazine 50mg/2ml solution for injection ampoules,first-generation antipsychotic drugs,chlorpromazine hydrochloride
4434,chlorpromazine 50mg/5ml oral solution,first-generation antipsychotic drugs,chlorpromazine hydrochloride
72716,chlorpromazine oral liquid,antipsychotic products/-,chlorpromazine hydrochloride
19002,largactil 100mg suppository (rhone-poulenc rorer ltd),antipsychotic products/-,chlorpromazine hydrochloride
7493,largactil 100mg tablet (hawgreen ltd),antipsychotic products/-,chlorpromazine hydrochloride
58702,largactil 100mg tablets (sanofi),first-generation antipsychotic drugs,chlorpromazine hydrochloride
8771,largactil 10mg tablet (hawgreen ltd),antipsychotic products/-,chlorpromazine hydrochloride
55012,largactil 10mg tablets (sanofi),first-generation antipsychotic drugs,chlorpromazine hydrochloride
2814,largactil 25mg tablet (hawgreen ltd),antipsychotic products/-,chlorpromazine hydrochloride
55011,largactil 25mg tablets (sanofi),first-generation antipsychotic drugs,chlorpromazine hydrochloride
10434,largactil 25mg/5ml oral solution (hawgreen ltd),antipsychotic products/-,chlorpromazine hydrochloride
57550,largactil 25mg/5ml syrup (sanofi),first-generation antipsychotic drugs,chlorpromazine hydrochloride
3772,largactil 50mg tablet (hawgreen ltd),antipsychotic products/-,chlorpromazine hydrochloride
58703,largactil 50mg tablets (sanofi),first-generation antipsychotic drugs,chlorpromazine hydrochloride
67247,largactil 50mg tablets (waymade healthcare plc),first-generation antipsychotic drugs,chlorpromazine hydrochloride
7514,largactil 50mg/2ml solution for injection ampoules (sanofi),first-generation antipsychotic drugs,chlorpromazine hydrochloride
7768,cinaziere 15mg tablets (ashbourne pharmaceuticals ltd),"products used against nausea and vertigo - antihistamines, phenothiazines & related products",cinnarizine
845,cinnarizine 15mg tablets,"products used against nausea and vertigo - antihistamines, phenothiazines & related products",cinnarizine
34484,cinnarizine 15mg tablets (a a h pharmaceuticals ltd),"products used against nausea and vertigo - antihistamines, phenothiazines & related products",cinnarizine
34839,cinnarizine 15mg tablets (actavis uk ltd),"products used against nausea and vertigo - antihistamines, phenothiazines & related products",cinnarizine
77317,cinnarizine 15mg tablets (alliance healthcare (distribution) ltd),"products used against nausea and vertigo - antihistamines, phenothiazines & related products",cinnarizine
23974,cinnarizine 15mg tablets (ivax pharmaceuticals uk ltd),"products used against nausea and vertigo - antihistamines, phenothiazines & related products",cinnarizine
48215,cinnarizine 15mg tablets (mylan),"products used against nausea and vertigo - antihistamines, phenothiazines & related products",cinnarizine
74075,cinnarizine 15mg tablets (teva uk ltd),"products used against nausea and vertigo - antihistamines, phenothiazines & related products",cinnarizine
75426,cinnarizine 15mg tablets (waymade healthcare plc),"products used against nausea and vertigo - antihistamines, phenothiazines & related products",cinnarizine
75600,cinnarizine 15mg/5ml oral suspension,"products used against nausea and vertigo - antihistamines, phenothiazines & related products",cinnarizine
55657,cinnarizine 25mg tablets,peripheral vasodilators and related products/antihistamines used for nausea and vomiting,cinnarizine
2098,cinnarizine 75mg capsules,unknown,cinnarizine
61553,mylan travel sickness 15mg tablets (mylan),"products used against nausea and vertigo - antihistamines, phenothiazines & related products",cinnarizine
9215,stugeron 15mg tablets (janssen-cilag ltd),"products used against nausea and vertigo - antihistamines, phenothiazines & related products",cinnarizine
1355,stugeron 15mg tablets (johnson & johnson ltd),"products used against nausea and vertigo - antihistamines, phenothiazines & related products",cinnarizine
9304,stugeron forte 75mg capsules (janssen-cilag ltd),unknown,cinnarizine
77197,travel sickness 15mg tablet (generics (uk) ltd),peripheral vasodilators and related products/antihistamines used for nausea and vomiting,cinnarizine
40326,dimenhydrinate with cinnarizine 40mg+20mg tablets,peripheral vasodilators and related products/antihistamines used for nausea and vomiting,cinnarizine/dimenhydrinate
3726,metoclopramide with aspirin 5mg + 325mg effervescent tablet,products used against nausea and vertigo - domperidone & metoclopramide/acute migraine,citric acid/metoclopramide hydrochloride/aspirin/sodium bicarbonate
17180,metoclopramide with aspirin 5mg + 450mg effervescent tablet,products used against nausea and vertigo - domperidone & metoclopramide/acute migraine,citric acid/metoclopramide hydrochloride/aspirin/sodium bicarbonate
3155,migravess 5mg+325mg effervescent tablet (bayer plc),products used against nausea and vertigo - domperidone & metoclopramide/acute migraine,citric acid/metoclopramide hydrochloride/aspirin/sodium bicarbonate
3386,migravess forte 5mg+450mg effervescent tablet (bayer plc),products used against nausea and vertigo - domperidone & metoclopramide/acute migraine,citric acid/metoclopramide hydrochloride/aspirin/sodium bicarbonate
2178,phensedyl oral solution (rhone-poulenc rorer ltd),demulcent and expectorant cough preparations,codeine phosphate/promethazine hydrochloride
76968,cyclizine 10mg/5ml oral solution,"post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine hydrochloride
73181,cyclizine 10mg/5ml oral suspension,"post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine hydrochloride
59220,cyclizine 12.5mg/5ml oral solution,"post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine hydrochloride
57105,cyclizine 12.5mg/5ml oral suspension,"post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine hydrochloride
73904,cyclizine 25mg suppositories,"post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine hydrochloride
58835,cyclizine 25mg/5ml oral suspension,"post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine hydrochloride
54153,cyclizine 50mg suppositories,"post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine hydrochloride
646,cyclizine 50mg tablets,"post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine hydrochloride
55552,cyclizine 50mg tablets (a a h pharmaceuticals ltd),"post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine hydrochloride
64767,cyclizine 50mg tablets (actavis uk ltd),"post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine hydrochloride
62464,cyclizine 50mg tablets (advanz pharma),"post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine hydrochloride
71037,cyclizine 50mg tablets (alliance healthcare (distribution) ltd),"post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine hydrochloride
59973,cyclizine 50mg tablets (de pharmaceuticals),"post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine hydrochloride
62831,cyclizine 50mg tablets (morningside healthcare ltd),"post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine hydrochloride
79293,cyclizine 50mg tablets (phoenix healthcare distribution ltd),"post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine hydrochloride
66165,cyclizine 50mg tablets (sigma pharmaceuticals plc),"post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine hydrochloride
62609,cyclizine 50mg tablets (teva uk ltd),"products used against nausea and vertigo/post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine hydrochloride
51398,cyclizine 50mg/5ml oral solution,"post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine hydrochloride
58656,cyclizine 50mg/5ml oral suspension,"post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine hydrochloride
72580,cyclizine 5mg/5ml oral solution,"post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine hydrochloride
60169,cyclizine 5mg/5ml oral suspension,"post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine hydrochloride
43015,cyclizine oral liquid,antihistamines used for nausea and vomiting,cyclizine hydrochloride
5550,valoid 50mg tablets (amdipharm plc),"products used against nausea and vertigo/post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine hydrochloride
22776,aspirin 500mg with cyclizine 25mg effervescent tablets,antihistamines used for nausea and vomiting/acute migraine,cyclizine hydrochloride/aspirin
81353,femigraine effervescent tablet (nicholas laboratories ltd),antihistamines used for nausea and vomiting/acute migraine,cyclizine hydrochloride/aspirin
38301,cyclizine 30mg with dipipanone 10mg tablets,antihistamines used for nausea and vomiting/opioid analgesics,cyclizine hydrochloride/dipipanone hydrochloride
9001,diconal tablets (amdipharm plc),opioid analgesics,cyclizine hydrochloride/dipipanone hydrochloride
12020,dipipanone 10mg / cyclizine 30mg tablets,opioid analgesics,cyclizine hydrochloride/dipipanone hydrochloride
4443,cyclizine 50mg/1ml solution for injection ampoules,"products used against nausea and vertigo/post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine lactate
77984,cyclizine 50mg/1ml solution for injection ampoules (a a h pharmaceuticals ltd),"products used against nausea and vertigo/post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine lactate
64106,cyclizine 50mg/1ml solution for injection ampoules (advanz pharma),"products used against nausea and vertigo/post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine lactate
64946,cyclizine 50mg/1ml solution for injection ampoules (alliance healthcare (distribution) ltd),"products used against nausea and vertigo/post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine lactate
73095,cyclizine 50mg/1ml solution for injection ampoules (hameln pharma ltd),"products used against nausea and vertigo/post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine lactate
65441,cyclizine 50mg/1ml solution for injection ampoules (martindale pharmaceuticals ltd),"products used against nausea and vertigo/post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine lactate
9113,valoid 50mg/1ml solution for injection ampoules (advanz pharma),"products used against nausea and vertigo/post-operative nausea and vomiting/products used against nausea and vertigo - motion sickness/products used against nausea and vertigo - antihistamines, phenothiazines & related products/other products for meniere disease",cyclizine lactate
5833,cyclimorph 10 solution for injection 1ml ampoules (advanz pharma),opioid analgesics,cyclizine tartrate/morphine tartrate
25316,cyclizine tartrate with morphine tartrate 50mg+10mg/ml injection,antihistamines used for nausea and vomiting/opioid analgesics,cyclizine tartrate/morphine tartrate
17490,cyclizine tartrate with morphine tartrate 50mg+15mg/ml injection,antihistamines used for nausea and vomiting/opioid analgesics,cyclizine tartrate/morphine tartrate
16335,morphine tartrate 10mg/1ml / cyclizine tartrate 50mg/1ml solution for injection ampoules,opioid analgesics,cyclizine tartrate/morphine tartrate
82264,paracetamol with promethazine & dextromethorphan capsule,sedating antihistamines/non-opioid and compound analgesics,dextromethorphan hydrobromide/paracetamol/promethazine hydrochloride
64932,generic night nurse capsules,miscellaneous cough & cold preparations,dextromethorphan hydrobromide/promethazine hydrochloride/paracetamol
24480,night nurse capsules (glaxosmithkline consumer healthcare),miscellaneous cough & cold preparations,dextromethorphan hydrobromide/promethazine hydrochloride/paracetamol
82573,dimenhydrinate 50mg tablets,sedating antihistamines,dimenhydrinate
2072,dimenhydrinate 50mg tablets,antihistamines used for nausea and vomiting,dimenhydrinate
51438,dimenhydrinate oral liquid,sedating antihistamines/antihistamines used for nausea and vomiting,dimenhydrinate
8937,dramamine 50mg tablet (pharmacia ltd),antihistamines used for nausea and vomiting,dimenhydrinate
35442,arlevert tablets (hennig arzneimittel gmbh & co. kg),"products used against nausea and vertigo - antihistamines, phenothiazines & related products",dimenhydrinate/cinnarizine
35351,cinnarizine 20mg / dimenhydrinate 40mg tablets,"products used against nausea and vertigo - antihistamines, phenothiazines & related products",dimenhydrinate/cinnarizine
68774,domperidone 1.9mg/5ml oral suspension,products used against nausea and vertigo - domperidone & metoclopramide,domperidone
44292,domperidone 10mg orodispersible tablets sugar free,products used against nausea and vertigo - domperidone & metoclopramide,domperidone
59491,domperidone 10mg/2ml solution for injection ampoules,products used against nausea and vertigo - domperidone & metoclopramide,domperidone
63190,domperidone 10mg/5ml oral suspension,products used against nausea and vertigo - domperidone & metoclopramide,domperidone
1396,domperidone 1mg/ml oral suspension sugar free,products used against nausea and vertigo - domperidone & metoclopramide,domperidone
52464,domperidone 1mg/ml oral suspension sugar free (a a h pharmaceuticals ltd),products used against nausea and vertigo - domperidone & metoclopramide,domperidone
68273,domperidone 1mg/ml oral suspension sugar free (alliance healthcare (distribution) ltd),products used against nausea and vertigo - domperidone & metoclopramide,domperidone
64679,domperidone 1mg/ml oral suspension sugar free (de pharmaceuticals),products used against nausea and vertigo - domperidone & metoclopramide,domperidone
71070,domperidone 1mg/ml oral suspension sugar free (waymade healthcare plc),products used against nausea and vertigo - domperidone & metoclopramide,domperidone
43710,domperidone 1mg/ml oral suspension sugar free (zentiva),products used against nausea and vertigo - domperidone & metoclopramide,domperidone
4136,domperidone 30mg suppositories,products used against nausea and vertigo - domperidone & metoclopramide,domperidone
73023,domperidone 50mg/5ml oral suspension,products used against nausea and vertigo - domperidone & metoclopramide,domperidone
66232,domperidone 800micrograms/5ml oral suspension,products used against nausea and vertigo - domperidone & metoclopramide,domperidone
14443,evoxin 30mg suppository (sanofi-synthelabo ltd),motility stimulants/products used against nausea and vertigo - domperidone & metoclopramide,domperidone
9077,motilium 1mg/ml oral suspension (zentiva),products used against nausea and vertigo - domperidone & metoclopramide,domperidone
8066,motilium 30mg suppositories (zentiva),products used against nausea and vertigo - domperidone & metoclopramide,domperidone
44603,motilium instants 10mg orodispersible tablets (mcneil products ltd),products used against nausea and vertigo - domperidone & metoclopramide,domperidone
72218,domperidone 10mg tablet (manx pharma ltd),motility stimulants/products used against nausea and vertigo - domperidone & metoclopramide,domperidone maleate
1020,domperidone 10mg tablets,products used against nausea and vertigo - domperidone & metoclopramide,domperidone maleate
30176,domperidone 10mg tablets (a a h pharmaceuticals ltd),products used against nausea and vertigo - domperidone & metoclopramide,domperidone maleate
54428,domperidone 10mg tablets (actavis uk ltd),products used against nausea and vertigo - domperidone & metoclopramide,domperidone maleate
56638,domperidone 10mg tablets (almus pharmaceuticals ltd),products used against nausea and vertigo - domperidone & metoclopramide,domperidone maleate
49938,domperidone 10mg tablets (bristol laboratories ltd),products used against nausea and vertigo - domperidone & metoclopramide,domperidone maleate
82318,domperidone 10mg tablets (medreich plc),products used against nausea and vertigo - domperidone & metoclopramide,domperidone maleate
26177,domperidone 10mg tablets (mylan),products used against nausea and vertigo - domperidone & metoclopramide,domperidone maleate
43558,domperidone 10mg tablets (pliva pharma ltd),products used against nausea and vertigo - domperidone & metoclopramide,domperidone maleate
45644,domperidone 10mg tablets (sandoz ltd),products used against nausea and vertigo - domperidone & metoclopramide,domperidone maleate
78592,domperidone 10mg tablets (sigma pharmaceuticals plc),products used against nausea and vertigo - domperidone & metoclopramide,domperidone maleate
62744,domperidone 10mg tablets (strides pharma uk ltd),products used against nausea and vertigo - domperidone & metoclopramide,domperidone maleate
45355,domperidone 10mg tablets (wockhardt uk ltd),products used against nausea and vertigo - domperidone & metoclopramide,domperidone maleate
29216,domperidone 10mg tablets (zentiva),products used against nausea and vertigo - domperidone & metoclopramide,domperidone maleate
15092,evoxin 10mg tablet (sanofi-synthelabo ltd),motility stimulants/products used against nausea and vertigo - domperidone & metoclopramide,domperidone maleate
9519,motilium 10 tablets (mcneil products ltd),products used against nausea and vertigo - domperidone & metoclopramide,domperidone maleate
77429,motilium 10mg tablets (waymade healthcare plc),products used against nausea and vertigo - domperidone & metoclopramide,domperidone maleate
2254,motilium 10mg tablets (zentiva),products used against nausea and vertigo - domperidone & metoclopramide,domperidone maleate
32971,vivadone 10mg tablets (lexon (uk) ltd),products used against nausea and vertigo - domperidone & metoclopramide,domperidone maleate
74056,doxylamine 10mg / pyridoxine 10mg gastro-resistant tablets,antihistamines used for nausea and vomiting/vomiting during pregnancy,doxylamine succinate/pyridoxine hydrochloride
74359,xonvea 10mg/10mg gastro-resistant tablets (alliance pharmaceuticals ltd),antihistamines used for nausea and vomiting/vomiting during pregnancy,doxylamine succinate/pyridoxine hydrochloride
59727,generic migril tablets,acute migraine,ergotamine tartrate/caffeine hydrate/cyclizine hydrochloride
2311,migril tablets (wockhardt uk ltd),acute migraine,ergotamine tartrate/caffeine hydrate/cyclizine hydrochloride
21863,gastrese la 15mg modified-release tablet (manufacturer unknown),motility stimulants/products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
8273,gastrobid continus 15mg tablets (napp pharmaceuticals ltd),unknown,metoclopramide hydrochloride
17496,gastroflux 10mg tablets (ashbourne pharmaceuticals ltd),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
17946,gastromax 30mg modified-release capsule (pfizer ltd),motility stimulants/products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
511,maxolon 10mg tablet (shire pharmaceuticals ltd),motility stimulants/products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
39621,maxolon 10mg tablets (advanz pharma),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
179,maxolon 10mg/2ml injection (shire pharmaceuticals ltd),motility stimulants/products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
39653,maxolon 10mg/2ml solution for injection ampoules (advanz pharma),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
304,maxolon 5mg tablets (shire pharmaceuticals ltd),unknown,metoclopramide hydrochloride
1724,maxolon 5mg/5ml oral solution (shire pharmaceuticals ltd),motility stimulants/products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
39710,maxolon 5mg/5ml syrup (amdipharm plc),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
14844,maxolon high dose 100mg/20ml solution for injection ampoules (advanz pharma),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
8386,maxolon paediatric 5mg/5ml liquid (amdipharm plc),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
15601,maxolon sr 15mg capsules (amdipharm plc),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
11576,metoclomex 10mg tablets (actavis uk ltd),products used against nausea and vertigo - domperidone & metoclopramide,metoclopramide hydrochloride
