prodcode,strength,substancestrength,routeofadministration,bnfheader,formulation,bnfchapter,drugsubstance,productname,route,class
67271,37.5mg,37.5mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,venlafaxine hydrochloride,efexor 37.5mg tablets (waymade healthcare plc),oral,2
623,37.5mg,37.5mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,venlafaxine hydrochloride,efexor 37.5mg tablets (wyeth pharmaceuticals),oral,2
6274,50mg,,,,tablet,unknown,venlafaxine hydrochloride,efexor 50mg tablets (wyeth pharmaceuticals),oral,2
67288,75mg,75mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,venlafaxine hydrochloride,efexor 75mg tablets (dowelhurst ltd),oral,2
77089,75mg,,,,tablet,other antidepressant drugs,venlafaxine hydrochloride,efexor 75mg tablets (waymade healthcare plc),oral,2
9182,75mg,75mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,venlafaxine hydrochloride,efexor 75mg tablets (wyeth pharmaceuticals),oral,2
81253,150mg,,,,modified-release capsule,other antidepressants,venlafaxine hydrochloride,efexor xl 150mg capsules (lexon (uk) ltd),oral,2
74010,150mg,,,,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,efexor xl 150mg capsules (necessity supplies ltd),oral,2
5710,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,efexor xl 150mg capsules (pfizer ltd),oral,2
51280,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,efexor xl 150mg capsules (waymade healthcare plc),oral,2
65899,225mg,,,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,efexor xl 225mg capsules (pfizer ltd),oral,2
74011,75mg,,,,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,efexor xl 75mg capsules (dowelhurst ltd),oral,2
75894,75mg,,,,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,efexor xl 75mg capsules (lexon (uk) ltd),oral,2
1474,75mg,75mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,efexor xl 75mg capsules (pfizer ltd),oral,2
76771,75mg,,,,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,efexor xl 75mg capsules (waymade healthcare plc),oral,2
81158,150mg,,,,modified-release capsule,other antidepressants,venlafaxine hydrochloride,foraven xl 150mg capsules (forum products ltd),oral,2
43968,75mg,75mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,foraven xl 75mg capsules (forum products ltd),oral,2
80721,37.5mg,,,,modified-release capsule,other antidepressants,venlafaxine hydrochloride,majoven xl 37.5mg capsules (bristol laboratories ltd),oral,2
83355,75mg,,,,modified-release capsule,other antidepressants,venlafaxine hydrochloride,majoven xl 75mg capsules (bristol laboratories ltd),oral,2
43673,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,politid xl 150mg capsules (actavis uk ltd),oral,2
41299,75mg,75mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,politid xl 75mg capsules (actavis uk ltd),oral,2
48199,75mg,75mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,ranfaxine xl 75mg capsules (ranbaxy (uk) ltd),oral,2
41314,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,rodomel xl 150mg capsules (teva uk ltd),oral,2
41033,75mg,75mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,rodomel xl 75mg capsules (teva uk ltd),oral,2
59753,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release tablet,other antidepressant drugs,venlafaxine hydrochloride,sunveniz xl 150mg tablets (sun pharmaceuticals uk ltd),oral,2
60843,75mg,75mg,Oral,Other Antidepressant Drugs,modified-release tablet,other antidepressant drugs,venlafaxine hydrochloride,sunveniz xl 75mg tablets (sun pharmaceuticals uk ltd),oral,2
40817,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,tardcaps xl 150mg capsules (ixl pharma ltd),oral,2
40815,75mg,75mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,tardcaps xl 75mg capsules (ixl pharma ltd),oral,2
39809,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,tifaxin xl 150mg capsules (genus pharmaceuticals ltd),oral,2
39770,75mg,75mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,tifaxin xl 75mg capsules (genus pharmaceuticals ltd),oral,2
57751,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,tonpular xl 150mg capsules (wockhardt uk ltd),oral,2
52716,75mg,75mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,tonpular xl 75mg capsules (wockhardt uk ltd),oral,2
40514,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venaxx xl 150mg capsules (amco),oral,2
40515,75mg,75mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venaxx xl 75mg capsules (amco),oral,2
70420,150mg,,,,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,vencarm xl 150mg capsules (aspire pharma ltd),oral,2
70495,225mg,,,,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,vencarm xl 225mg capsules (aspire pharma ltd),oral,2
69819,37.5mg,,,,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,vencarm xl 37.5mg capsules (aspire pharma ltd),oral,2
70315,75mg,,,,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,vencarm xl 75mg capsules (aspire pharma ltd),oral,2
50081,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venlablue xl 150mg capsules (creo pharma ltd),oral,2
59035,37.5mg,37.5mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venlablue xl 37.5mg capsules (creo pharma ltd),oral,2
49511,75mg,75mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venlablue xl 75mg capsules (creo pharma ltd),oral,2
58726,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release tablet,other antidepressant drugs,venlafaxine hydrochloride,venladex xl 150mg tablets (dexcel-pharma ltd),oral,2
74516,225mg,,,,modified-release tablet,other antidepressant drugs,venlafaxine hydrochloride,venladex xl 225mg tablets (dexcel-pharma ltd),oral,2
58681,75mg,,,Other Antidepressant Drugs,modified-release tablet,other antidepressant drugs,venlafaxine hydrochloride,venladex xl 75mg tablets (dexcel-pharma ltd),oral,2
55424,,,,Other Antidepressant Drugs,,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine,,2
55501,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 150mg modified-release capsule (hillcross pharmaceuticals ltd),oral,2
2654,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 150mg modified-release capsules,oral,2
70806,150mg,,,,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 150mg modified-release capsules (de pharmaceuticals),oral,2
60549,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 150mg modified-release capsules (kent pharmaceuticals ltd),oral,2
71782,150mg,,,,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 150mg modified-release capsules (mawdsley-brooks & company ltd),oral,2
43334,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 150mg modified-release capsules (sandoz ltd),oral,2
39360,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release tablet,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 150mg modified-release tablets,oral,2
50934,30mg/1ml,30mg/1ml,Oral,Other Antidepressant Drugs,oral solution,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 150mg/5ml oral solution,oral,2
62734,30mg/1ml,30mg/1ml,Oral,Other Antidepressant Drugs,oral suspension,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 150mg/5ml oral suspension,oral,2
65666,225mg,,,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 225mg modified-release capsules,oral,2
40054,225mg,225mg,Oral,Other Antidepressant Drugs,modified-release tablet,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 225mg modified-release tablets,oral,2
80331,300mg,,,,modified-release tablet,other antidepressants,venlafaxine hydrochloride,venlafaxine 300mg modified-release tablets,oral,2
58837,37.5mg,,,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 37.5mg modified-release capsules,oral,2
45806,37.5mg,37.5mg,Oral,Other Antidepressant Drugs,modified-release tablet,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 37.5mg modified-release tablets,oral,2
301,37.5mg,37.5mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 37.5mg tablets,oral,2
56662,37.5mg,37.5mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 37.5mg tablets (a a h pharmaceuticals ltd),oral,2
73667,37.5mg,,,,tablet,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 37.5mg tablets (actavis uk ltd),oral,2
68050,37.5mg,37.5mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 37.5mg tablets (alliance healthcare (distribution) ltd),oral,2
75525,37.5mg,,,,tablet,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 37.5mg tablets (almus pharmaceuticals ltd),oral,2
59923,37.5mg,37.5mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 37.5mg tablets (bristol laboratories ltd),oral,2
70353,37.5mg,,,,tablet,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 37.5mg tablets (de pharmaceuticals),oral,2
83069,37.5mg,,,,tablet,other antidepressants,venlafaxine hydrochloride,venlafaxine 37.5mg tablets (dexcel-pharma ltd),oral,2
51361,37.5mg,37.5mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 37.5mg tablets (ranbaxy (uk) ltd),oral,2
60895,37.5mg,37.5mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 37.5mg tablets (teva uk ltd),oral,2
51699,7.5mg/1ml,,,Other Antidepressant Drugs,oral solution,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 37.5mg/5ml oral solution,oral,2
13237,7.5mg/1ml,7.5mg/1ml,Oral,Other Antidepressant Drugs,oral suspension,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 37.5mg/5ml oral suspension,oral,2
2617,50mg,,,,tablet,unknown,venlafaxine hydrochloride,venlafaxine 50mg tablets,oral,2
470,75mg,75mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 75mg modified-release capsules,oral,2
71257,75mg,,,,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 75mg modified-release capsules (de pharmaceuticals),oral,2
59563,75mg,75mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 75mg modified-release capsules (kent pharmaceuticals ltd),oral,2
68876,75mg,75mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 75mg modified-release capsules (mawdsley-brooks & company ltd),oral,2
43203,75mg,75mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 75mg modified-release capsules (sandoz ltd),oral,2
39359,75mg,75mg,Oral,Other Antidepressant Drugs,modified-release tablet,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 75mg modified-release tablets,oral,2
1222,75mg,75mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 75mg tablets,oral,2
60449,75mg,75mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 75mg tablets (a a h pharmaceuticals ltd),oral,2
73658,75mg,,,,tablet,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 75mg tablets (actavis uk ltd),oral,2
66437,75mg,75mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 75mg tablets (de pharmaceuticals),oral,2
56457,75mg,75mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 75mg tablets (teva uk ltd),oral,2
63859,75mg,75mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 75mg tablets (waymade healthcare plc),oral,2
53326,15mg/1ml,15mg/1ml,Oral,Other Antidepressant Drugs,oral solution,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 75mg/5ml oral solution,oral,2
63268,15mg/1ml,,,Other Antidepressant Drugs,oral suspension,other antidepressant drugs,venlafaxine hydrochloride,venlafaxine 75mg/5ml oral suspension,oral,2
40062,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release tablet,other antidepressant drugs,venlafaxine hydrochloride,venlalic xl 150mg tablets (ethypharm uk ltd),oral,2
40407,225mg,225mg,Oral,Other Antidepressant Drugs,modified-release tablet,other antidepressant drugs,venlafaxine hydrochloride,venlalic xl 225mg tablets (ethypharm uk ltd),oral,2
80541,300mg,,,,modified-release tablet,other antidepressants,venlafaxine hydrochloride,venlalic xl 300mg tablets (ethypharm uk ltd),oral,2
45818,37.5mg,37.5mg,Oral,Other Antidepressant Drugs,modified-release tablet,other antidepressant drugs,venlafaxine hydrochloride,venlalic xl 37.5mg tablets (ethypharm uk ltd),oral,2
40059,75mg,75mg,Oral,Other Antidepressant Drugs,modified-release tablet,other antidepressant drugs,venlafaxine hydrochloride,venlalic xl 75mg tablets (ethypharm uk ltd),oral,2
44936,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venlaneo xl 150mg capsules (kent pharmaceuticals ltd),oral,2
44937,75mg,75mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venlaneo xl 75mg capsules (kent pharmaceuticals ltd),oral,2
71932,150mg,,,,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venlasov xl 150mg capsules (sovereign medical ltd),oral,2
70931,75mg,,,,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venlasov xl 75mg capsules (sovereign medical ltd),oral,2
40092,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,vensir xl 150mg capsules (morningside healthcare ltd),oral,2
67563,225mg,,,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,vensir xl 225mg capsules (morningside healthcare ltd),oral,2
40277,75mg,75mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,vensir xl 75mg capsules (morningside healthcare ltd),oral,2
76727,150mg,,,,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venzip xl 150mg capsules (milpharm ltd),oral,2
75263,75mg,,,,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,venzip xl 75mg capsules (milpharm ltd),oral,2
40517,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,vexarin xl 150mg capsules (mylan),oral,2
42600,75mg,75mg,Oral,Other Antidepressant Drugs,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,vexarin xl 75mg capsules (mylan),oral,2
40764,37.5mg,37.5mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,venlafaxine hydrochloride,viepax 37.5mg tablets (dexcel-pharma ltd),oral,2
40917,75mg,75mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,venlafaxine hydrochloride,viepax 75mg tablets (dexcel-pharma ltd),oral,2
40049,150mg,150mg,Oral,Other Antidepressant Drugs,modified-release tablet,other antidepressant drugs,venlafaxine hydrochloride,viepax xl 150mg tablets (dexcel-pharma ltd),oral,2
78585,225mg,,,,modified-release tablet,other antidepressants,venlafaxine hydrochloride,viepax xl 225mg tablets (dexcel-pharma ltd),oral,2
40048,75mg,75mg,Oral,Other Antidepressant Drugs,modified-release tablet,other antidepressant drugs,venlafaxine hydrochloride,viepax xl 75mg tablets (dexcel-pharma ltd),oral,2
75848,150mg,,,,modified-release capsule,other antidepressant drugs,venlafaxine hydrochloride,winfex xl 150mg capsules (zentiva),oral,2
54747,500mg,,,Other Antidepressant Drugs,capsule,other antidepressant drugs,tryptophan,optimax 500mg capsules (intrapharm laboratories ltd),oral,7
5611,500mg,500mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,tryptophan,optimax 500mg tablets (intrapharm laboratories ltd),oral,7
20504,500mg,500mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,tryptophan,optimax wv tablet (e. merck),oral,7
12221,500mg,500mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,tryptophan,pacitron 500mg tablet (rorer pharmaceuticals ltd),oral,7
54686,500mg,,,Other Antidepressant Drugs,capsule,other antidepressant drugs,tryptophan,tryptophan 500mg capsules,oral,7
4422,500mg,500mg,Oral,Other Antidepressant Drugs,tablet,other antidepressant drugs,tryptophan,tryptophan 500mg tablets,oral,7
8928,10mg,10mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,trimipramine maleate,surmontil 10mg tablets (sanofi),oral,3
2532,25mg,25mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,trimipramine maleate,surmontil 25mg tablets (sanofi),oral,3
2531,50mg,50mg,Oral,Tricyclic And Related Antidepressant Drugs,capsule,tricyclic and related antidepressant drugs,trimipramine maleate,surmontil 50mg capsules (sanofi),oral,3
4310,10mg,10mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,trimipramine maleate,trimipramine 10mg tablets,oral,3
42228,10mg,10mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,trimipramine maleate,trimipramine 10mg tablets (a a h pharmaceuticals ltd),oral,3
53808,10mg,10mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,trimipramine maleate,trimipramine 10mg tablets (phoenix healthcare distribution ltd),oral,3
2039,25mg,25mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,trimipramine maleate,trimipramine 25mg tablets,oral,3
45226,25mg,25mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,trimipramine maleate,trimipramine 25mg tablets (a a h pharmaceuticals ltd),oral,3
57978,25mg,25mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,trimipramine maleate,trimipramine 25mg tablets (waymade healthcare plc),oral,3
66493,5mg/1ml,5mg/1ml,Oral,Tricyclic And Related Antidepressant Drugs,oral suspension,tricyclic and related antidepressant drugs,trimipramine maleate,trimipramine 25mg/5ml oral suspension,oral,3
3196,50mg,50mg,Oral,Tricyclic And Related Antidepressant Drugs,capsule,tricyclic and related antidepressant drugs,trimipramine maleate,trimipramine 50mg capsules,oral,3
65445,50mg,50mg,Oral,Tricyclic And Related Antidepressant Drugs,capsule,tricyclic and related antidepressant drugs,trimipramine maleate,trimipramine 50mg capsules (a a h pharmaceuticals ltd),oral,3
66919,50mg,50mg,Oral,Tricyclic And Related Antidepressant Drugs,capsule,tricyclic and related antidepressant drugs,trimipramine maleate,trimipramine 50mg capsules (waymade healthcare plc),oral,3
65213,10mg/1ml,,,Tricyclic And Related Antidepressant Drugs,oral solution,tricyclic and related antidepressant drugs,trimipramine maleate,trimipramine 50mg/5ml oral solution,oral,3
4194,100mg,100mg,Oral,Tricyclic And Related Antidepressant Drugs,capsule,tricyclic and related antidepressant drugs,trazodone hydrochloride,molipaxin 100mg capsules (zentiva),oral,7
4003,150mg,150mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,trazodone hydrochloride,molipaxin 150mg tablets (zentiva),oral,7
4874,50mg,50mg,Oral,Tricyclic And Related Antidepressant Drugs,capsule,tricyclic and related antidepressant drugs,trazodone hydrochloride,molipaxin 50mg capsules (zentiva),oral,7
8174,10mg/1ml,10mg/1ml,Oral,Tricyclic And Related Antidepressant Drugs,oral solution,tricyclic and related antidepressant drugs,trazodone hydrochloride,molipaxin 50mg/5ml oral liquid (sanofi),oral,7
13621,150mg,,,,modified-release tablet,unknown,trazodone hydrochloride,molipaxin cr 150mg tablets (aventis pharma),oral,7
1730,100mg,100mg,Oral,Tricyclic And Related Antidepressant Drugs,capsule,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 100mg capsules,oral,7
34580,100mg,100mg,Oral,Tricyclic And Related Antidepressant Drugs,capsule,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 100mg capsules (a a h pharmaceuticals ltd),oral,7
73639,100mg,,,,capsule,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 100mg capsules (actavis uk ltd),oral,7
19181,100mg,100mg,Oral,Tricyclic And Related Antidepressant Drugs,capsule,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 100mg capsules (mylan),oral,7
41709,100mg,100mg,Oral,Tricyclic And Related Antidepressant Drugs,capsule,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 100mg capsules (teva uk ltd),oral,7
41710,100mg,100mg,Oral,Tricyclic And Related Antidepressant Drugs,capsule,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 100mg capsules (zentiva),oral,7
65152,20mg/1ml,20mg/1ml,Oral,Tricyclic And Related Antidepressant Drugs,oral solution,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 100mg/5ml oral solution,oral,7
72291,20mg/1ml,,,,oral solution,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 100mg/5ml oral solution sugar free,oral,7
66749,2mg/1ml,,,Tricyclic And Related Antidepressant Drugs,oral solution,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 10mg/5ml oral solution,oral,7
12710,150mg,,,,modified-release tablet,unknown,trazodone hydrochloride,trazodone 150mg modified-release tablets,oral,7
4020,150mg,150mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 150mg tablets,oral,7
73419,150mg,,,,tablet,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 150mg tablets (a a h pharmaceuticals ltd),oral,7
77915,150mg,,,,tablet,tricyclic and related antidepressants,trazodone hydrochloride,trazodone 150mg tablets (accord healthcare ltd),oral,7
73636,150mg,,,,tablet,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 150mg tablets (actavis uk ltd),oral,7
76480,150mg,,,,tablet,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 150mg tablets (alliance healthcare (distribution) ltd),oral,7
30983,150mg,150mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 150mg tablets (mylan),oral,7
29857,150mg,150mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 150mg tablets (teva uk ltd),oral,7
34470,150mg,150mg,Oral,Tricyclic And Related Antidepressant Drugs,tablet,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 150mg tablets (zentiva),oral,7
55137,30mg/1ml,30mg/1ml,Oral,Tricyclic And Related Antidepressant Drugs,oral suspension,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 150mg/5ml oral suspension,oral,7
55138,50mg/1ml,,,Tricyclic And Related Antidepressant Drugs,oral solution,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 250mg/5ml oral solution,oral,7
83013,5mg/1ml,,,,oral solution,tricyclic and related antidepressants,trazodone hydrochloride,trazodone 25mg/5ml oral solution,oral,7
57226,5mg/1ml,5mg/1ml,Oral,Tricyclic And Related Antidepressant Drugs,oral suspension,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 25mg/5ml oral suspension,oral,7
3355,50mg,50mg,Oral,Tricyclic And Related Antidepressant Drugs,capsule,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 50mg capsules,oral,7
34003,50mg,50mg,Oral,Tricyclic And Related Antidepressant Drugs,capsule,tricyclic and related antidepressant drugs,trazodone hydrochloride,trazodone 50mg capsules (a a h pharmaceuticals ltd),oral,7
